,filename,text_length,lexical_density,average_sentence_length,average_word_length,oov_word_counts,reading_ease,punctuation_count,type_token_ratio,asian_context_feature,asian_imp_word,non_asian_imp_word,noun_counts,verb_counts,adjective_counts,target_region
145,168210,44,0.5227272727272727,22.0,3.9318181818181817,1,61.45045454545455,7,0.34,0,0,1,10,7,3,0
146,168334,72,0.5138888888888888,72.0,4.291666666666667,4,16.25500000000001,7,0.5,0,1,0,13,15,7,0
147,169609,80,0.575,80.0,3.7625,2,12.48250000000003,11,0.58,0,1,0,15,20,7,0
148,170238,73,0.547945205479452,73.0,5.273972602739726,9,-22.553150684931495,8,0.53,0,1,0,24,9,6,0
149,17042,235,0.5574468085106383,11.19047619047619,3.617021276595745,15,89.6366666666667,40,0.68,0,1,1,41,48,22,1
150,170421,127,0.5275590551181102,127.0,4.141732283464567,2,-35.980236220472435,13,0.54,0,0,0,36,15,13,0
151,170664,15,0.7333333333333333,15.0,4.466666666666667,1,50.610000000000014,4,0.16,0,0,0,5,4,3,1
152,170750,80,0.5125,16.0,4.0875,4,71.0975,11,0.59,0,1,1,13,16,5,1
153,170772,10,0.8,10.0,4.1,2,78.24500000000002,0,0.1,0,1,0,5,3,0,0
154,170854,59,0.576271186440678,29.5,4.033898305084746,2,59.31283898305087,6,0.47,0,1,0,12,14,6,0
155,171024,53,0.5283018867924528,13.25,3.849056603773585,2,75.26549528301891,5,0.35,0,0,0,10,10,5,0
156,171077,216,0.5601851851851852,216.0,3.675925925925926,6,-124.42166666666664,25,0.75,0,1,0,34,46,22,0
157,171262,69,0.7101449275362319,17.25,4.304347826086956,2,78.9784239130435,13,0.5,0,1,0,18,18,4,0
158,17242,35,0.6285714285714286,35.0,4.114285714285714,0,60.12142857142858,4,0.29,0,0,0,10,9,2,0
159,172559,61,0.5573770491803278,8.714285714285714,3.4918032786885247,5,99.52114754098362,7,0.45,0,0,1,10,10,3,1
160,173196,96,0.5625,32.0,4.479166666666667,4,50.098750000000024,12,0.69,0,1,0,20,23,6,0
161,173201,126,0.6349206349206349,15.75,4.015873015873016,4,72.00589285714287,16,0.72,0,1,1,27,28,10,0
162,173441,173,0.5028901734104047,43.25,3.7745664739884393,14,53.88538294797692,9,0.71,0,0,0,38,37,4,0
163,173460,553,0.5515370705244123,21.26923076923077,4.620253164556962,36,51.84492245096678,65,0.65,0,1,1,146,104,34,0
164,173948,16,0.5,16.0,3.9375,0,79.5575,2,0.16,0,0,0,3,5,0,0
165,173955,16,0.75,16.0,5.375,1,47.83250000000001,7,0.15,0,0,0,5,5,2,1
166,174664,249,0.5582329317269076,12.45,4.0843373493975905,19,70.8657198795181,38,0.7,0,1,1,50,59,10,0
